seq_type,study,filename
unpaired,Eliyahu_2018,ERR2843394_Heavy_IGHA
unpaired,Eliyahu_2018,ERR2843387_Heavy_IGHA
unpaired,Eliyahu_2018,ERR2843413_Heavy_IGHD
unpaired,Eliyahu_2018,ERR2843427_Heavy_Bulk
unpaired,Eliyahu_2018,ERR2843413_Heavy_Bulk
unpaired,Eliyahu_2018,ERR2843419_Heavy_IGHD
unpaired,Eliyahu_2018,ERR2843420_Heavy_IGHG
unpaired,Eliyahu_2018,ERR2843420_Heavy_Bulk
unpaired,Eliyahu_2018,ERR2843422_Heavy_IGHG
unpaired,Eliyahu_2018,ERR2843389_Heavy_IGHG
unpaired,Eliyahu_2018,ERR2843396_Heavy_Bulk
unpaired,Eliyahu_2018,ERR2843391_Heavy_IGHM
unpaired,Eliyahu_2018,ERR2843390_Heavy_IGHM
unpaired,Eliyahu_2018,ERR2843387_Heavy_IGHM
unpaired,Eliyahu_2018,ERR2843419_Heavy_IGHG
unpaired,Eliyahu_2018,ERR2843412_Heavy_IGHA
unpaired,Eliyahu_2018,ERR2843412_Heavy_IGHE
unpaired,Eliyahu_2018,ERR2843413_Heavy_IGHM
unpaired,Eliyahu_2018,ERR2843402_Heavy_IGHG
unpaired,Eliyahu_2018,ERR2843425_Heavy_IGHD
unpaired,Eliyahu_2018,ERR2843401_Heavy_IGHM
unpaired,Eliyahu_2018,ERR2843398_Heavy_IGHE
unpaired,Eliyahu_2018,ERR2843421_Heavy_IGHE
unpaired,Eliyahu_2018,ERR2843395_Heavy_IGHE
unpaired,Eliyahu_2018,ERR2843421_Heavy_IGHM
unpaired,Eliyahu_2018,ERR2843400_Heavy_IGHD
unpaired,Eliyahu_2018,ERR2843414_Heavy_IGHM
unpaired,Eliyahu_2018,ERR2843388_Heavy_Bulk
unpaired,Eliyahu_2018,ERR2843413_Heavy_IGHE
unpaired,Eliyahu_2018,ERR2843411_Heavy_Bulk
unpaired,Eliyahu_2018,ERR2843403_Heavy_IGHD
unpaired,Eliyahu_2018,ERR2843389_Heavy_IGHE
unpaired,Eliyahu_2018,ERR2843415_Heavy_IGHG
unpaired,Eliyahu_2018,ERR2843410_Heavy_Bulk
unpaired,Eliyahu_2018,ERR2843397_Heavy_IGHA
unpaired,Eliyahu_2018,ERR2843399_Heavy_IGHE
unpaired,Eliyahu_2018,ERR2843397_Heavy_IGHG
unpaired,Eliyahu_2018,ERR2843405_Heavy_IGHD
unpaired,Eliyahu_2018,ERR2843416_Heavy_IGHE
unpaired,Eliyahu_2018,ERR2843425_Heavy_IGHM
unpaired,Eliyahu_2018,ERR2843398_Heavy_IGHA
unpaired,Eliyahu_2018,ERR2843412_Heavy_IGHG
unpaired,Eliyahu_2018,ERR2843403_Heavy_IGHG
unpaired,Eliyahu_2018,ERR2843392_Heavy_IGHM
unpaired,Eliyahu_2018,ERR2843420_Heavy_IGHM
unpaired,Eliyahu_2018,ERR2843386_Heavy_Bulk
unpaired,Eliyahu_2018,ERR2843396_Heavy_IGHA
unpaired,Eliyahu_2018,ERR2843425_Heavy_IGHA
unpaired,Eliyahu_2018,ERR2843402_Heavy_IGHE
unpaired,Eliyahu_2018,ERR2843425_Heavy_Bulk
unpaired,Eliyahu_2018,ERR2843401_Heavy_IGHA
unpaired,Eliyahu_2018,ERR2843398_Heavy_IGHM
unpaired,Eliyahu_2018,ERR2843404_Heavy_IGHM
unpaired,Eliyahu_2018,ERR2843395_Heavy_IGHA
unpaired,Schultheiss_2020,ERR4311055_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311037_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311168_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311054_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337046_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311106_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311167_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337048_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311065_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337000_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337012_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337051_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337034_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311042_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337014_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311103_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337005_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311063_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337019_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337029_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311127_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337023_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4336994_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311120_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311153_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337047_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311090_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311164_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311152_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311160_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311092_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311128_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4336995_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311172_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337050_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311062_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337056_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337049_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311136_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311146_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311049_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311097_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337066_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311071_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311039_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337041_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311095_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337015_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311112_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337013_Heavy_IGHG
unpaired,Schultheiss_2020,ERR4311107_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311079_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311040_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311087_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337063_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311159_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311138_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337025_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311140_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311119_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311034_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311149_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311035_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311101_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311074_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311088_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311169_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311115_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311067_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311080_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311091_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311135_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311125_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4336993_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311064_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311053_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337044_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311122_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311113_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311137_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337032_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311117_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311142_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311143_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311150_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311084_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337062_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311134_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311041_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311158_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311118_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337018_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311060_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337045_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337033_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311148_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337053_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311121_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311162_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311165_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337035_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311166_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311073_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337026_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337024_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311083_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4336996_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311108_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311076_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311156_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337013_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311132_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337003_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311068_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311069_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337031_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311048_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337037_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311139_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337017_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337054_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311094_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311147_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311114_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311100_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311051_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337039_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311072_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311170_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311066_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337027_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337002_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311133_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311093_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337036_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337055_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337067_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311109_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311098_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4336991_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337028_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311086_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311052_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311145_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311110_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311163_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311082_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337042_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311151_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311057_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337001_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337011_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311070_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311126_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311171_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311056_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337065_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337006_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311046_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337015_Heavy_IGHG
unpaired,Schultheiss_2020,ERR4311155_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311061_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311077_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311081_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311078_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311116_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311036_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4336992_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311157_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337030_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4336999_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337022_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311129_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337059_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311141_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337007_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337060_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311123_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311104_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337009_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311047_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311096_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311161_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311144_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311089_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337021_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311038_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337008_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4336998_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311130_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337016_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311131_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337010_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311075_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311044_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311050_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311154_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337040_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311105_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4336997_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337020_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311059_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4337004_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311102_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311111_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311058_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311085_Heavy_Bulk
unpaired,Schultheiss_2020,ERR4311099_Heavy_Bulk
unpaired,Tipton_2015,SRR1964801_Heavy_IGHD
unpaired,Tipton_2015,SRR1961400_Heavy_IGHG
unpaired,Tipton_2015,SRR1964787_Heavy_Bulk
unpaired,Tipton_2015,SRR1964795_Heavy_IGHG
unpaired,Tipton_2015,SRR1964798_Heavy_Bulk
unpaired,Tipton_2015,SRR1964786_Heavy_Bulk
unpaired,Tipton_2015,SRR1964713_Heavy_IGHM
unpaired,Tipton_2015,SRR1964797_Heavy_IGHD
unpaired,Tipton_2015,SRR1964788_Heavy_IGHM
unpaired,Tipton_2015,SRR1959703_Heavy_IGHD
unpaired,Tipton_2015,SRR1964795_Heavy_IGHD
unpaired,Tipton_2015,SRR1960371_Heavy_IGHA
unpaired,Tipton_2015,SRR1964710_Heavy_IGHD
unpaired,Tipton_2015,SRR1964801_Heavy_IGHG
unpaired,Tipton_2015,SRR1961400_Heavy_Bulk
unpaired,Tipton_2015,SRR1960371_Heavy_IGHE
unpaired,Tipton_2015,SRR1964787_Heavy_IGHG
unpaired,Tipton_2015,SRR1964792_Heavy_IGHD
unpaired,Tipton_2015,SRR1960371_Heavy_Bulk
unpaired,Tipton_2015,SRR1964793_Heavy_IGHA
unpaired,Tipton_2015,SRR1964798_Heavy_IGHM
unpaired,Tipton_2015,SRR1964798_Heavy_IGHD
unpaired,Tipton_2015,SRR1964712_Heavy_IGHE
unpaired,Tipton_2015,SRR1964795_Heavy_IGHM
unpaired,Tipton_2015,SRR1960371_Heavy_IGHG
unpaired,Tipton_2015,SRR1964711_Heavy_IGHE
unpaired,Tipton_2015,SRR1964799_Heavy_IGHG
unpaired,Tipton_2015,SRR1964793_Heavy_IGHM
unpaired,Tipton_2015,SRR1964786_Heavy_IGHG
unpaired,Tipton_2015,SRR1964800_Heavy_IGHA
unpaired,Tipton_2015,SRR1960371_Heavy_IGHM
unpaired,Tipton_2015,SRR1959703_Heavy_IGHG
unpaired,Tipton_2015,SRR1964801_Heavy_IGHA
unpaired,Tipton_2015,SRR1964711_Heavy_IGHM
unpaired,Tipton_2015,SRR1964800_Heavy_IGHD
unpaired,Tipton_2015,SRR1964710_Heavy_IGHG
unpaired,Tipton_2015,SRR1964787_Heavy_IGHA
unpaired,Tipton_2015,SRR1964792_Heavy_IGHG
unpaired,Tipton_2015,SRR1964795_Heavy_Bulk
unpaired,Tipton_2015,SRR1964788_Heavy_IGHA
